deal_id,acquirer_name,acquirer_ticker,role,entity_ticker
2,AT&T Inc,T US,supplier,AAPL US Equity
2,AT&T Inc,T US,supplier,005930 KS Equity
2,AT&T Inc,T US,supplier,ERICB SS Equity
2,AT&T Inc,T US,supplier,AMT US Equity
2,AT&T Inc,T US,supplier,DY US Equity
2,AT&T Inc,T US,customer,IBM US Equity
2,AT&T Inc,T US,customer,SNX US Equity
2,AT&T Inc,T US,customer,SCSC US Equity
2,AT&T Inc,T US,customer,AVT US Equity
2,AT&T Inc,T US,customer,8 HK Equity
3,RTX Corp,RTX US,supplier,MTX GR Equity
3,RTX Corp,RTX US,supplier,MRO LN Equity
3,RTX Corp,RTX US,supplier,HWM US Equity
3,RTX Corp,RTX US,supplier,BRK/A US Equity
3,RTX Corp,RTX US,supplier,PH US Equity
3,RTX Corp,RTX US,customer,3352Z US Equity
3,RTX Corp,RTX US,customer,AIR FP Equity
3,RTX Corp,RTX US,customer,BA US Equity
3,RTX Corp,RTX US,customer,LMT US Equity
3,RTX Corp,RTX US,customer,AAL US Equity
4,Bristol-Myers Squibb Co,BMY US,supplier,PFE US Equity
4,Bristol-Myers Squibb Co,BMY US,supplier,4528 JP Equity
4,Bristol-Myers Squibb Co,BMY US,supplier,688506 CH Equity
4,Bristol-Myers Squibb Co,BMY US,supplier,MRK US Equity
4,Bristol-Myers Squibb Co,BMY US,supplier,JNJ US Equity
4,Bristol-Myers Squibb Co,BMY US,customer,MCK US Equity
4,Bristol-Myers Squibb Co,BMY US,customer,COR US Equity
4,Bristol-Myers Squibb Co,BMY US,customer,CAH US Equity
4,Bristol-Myers Squibb Co,BMY US,customer,CI US Equity
4,Bristol-Myers Squibb Co,BMY US,customer,UNH US Equity
5,Pfizer Inc,PFE US,supplier,BNTX US Equity
5,Pfizer Inc,PFE US,supplier,ORCL US Equity
5,Pfizer Inc,PFE US,supplier,DIM FP Equity
5,Pfizer Inc,PFE US,supplier,BMY US Equity
5,Pfizer Inc,PFE US,supplier,5201 JP Equity
5,Pfizer Inc,PFE US,customer,MCK US Equity
5,Pfizer Inc,PFE US,customer,COR US Equity
5,Pfizer Inc,PFE US,customer,CAH US Equity
5,Pfizer Inc,PFE US,customer,BMY US Equity
5,Pfizer Inc,PFE US,customer,3352Z US Equity
6,AbbVie Inc,ABBV US,supplier,ROG SW Equity
6,AbbVie Inc,ABBV US,supplier,JNJ US Equity
6,AbbVie Inc,ABBV US,supplier,RICHT HB Equity
6,AbbVie Inc,ABBV US,supplier,LONN SW Equity
6,AbbVie Inc,ABBV US,supplier,IRWD US Equity
6,AbbVie Inc,ABBV US,customer,MCK US Equity
6,AbbVie Inc,ABBV US,customer,COR US Equity
6,AbbVie Inc,ABBV US,customer,CAH US Equity
6,AbbVie Inc,ABBV US,customer,JNJ US Equity
6,AbbVie Inc,ABBV US,customer,IRWD US Equity
7,Walt Disney Co/The,DIS US,supplier,GTN US Equity
7,Walt Disney Co/The,DIS US,supplier,MSFT US Equity
7,Walt Disney Co/The,DIS US,supplier,GLOB US Equity
7,Walt Disney Co/The,DIS US,supplier,ROKU US Equity
7,Walt Disney Co/The,DIS US,supplier,PPG US Equity
7,Walt Disney Co/The,DIS US,customer,AD NA Equity
7,Walt Disney Co/The,DIS US,customer,CA FP Equity
7,Walt Disney Co/The,DIS US,customer,KGF LN Equity
7,Walt Disney Co/The,DIS US,customer,DEN IN Equity
7,Walt Disney Co/The,DIS US,customer,CTRN US Equity
8,AT&T Inc,T US,supplier,AAPL US Equity
8,AT&T Inc,T US,supplier,005930 KS Equity
8,AT&T Inc,T US,supplier,ERICB SS Equity
8,AT&T Inc,T US,supplier,AMT US Equity
8,AT&T Inc,T US,supplier,DY US Equity
8,AT&T Inc,T US,customer,IBM US Equity
8,AT&T Inc,T US,customer,SNX US Equity
8,AT&T Inc,T US,customer,SCSC US Equity
8,AT&T Inc,T US,customer,AVT US Equity
8,AT&T Inc,T US,customer,8 HK Equity
9,Exxon Mobil Corp,XOM US,supplier,PAA US Equity
9,Exxon Mobil Corp,XOM US,supplier,PAGP US Equity
9,Exxon Mobil Corp,XOM US,supplier,IMO CN Equity
9,Exxon Mobil Corp,XOM US,supplier,6269 JP Equity
9,Exxon Mobil Corp,XOM US,supplier,NE US Equity
9,Exxon Mobil Corp,XOM US,customer,IMO CN Equity
9,Exxon Mobil Corp,XOM US,customer,BNR GR Equity
9,Exxon Mobil Corp,XOM US,customer,293 HK Equity
9,Exxon Mobil Corp,XOM US,customer,LXS GR Equity
9,Exxon Mobil Corp,XOM US,customer,1325 TT Equity
11,Verizon Communications Inc,VZ US,supplier,AAPL US Equity
11,Verizon Communications Inc,VZ US,supplier,005930 KS Equity
11,Verizon Communications Inc,VZ US,supplier,AMT US Equity
11,Verizon Communications Inc,VZ US,supplier,GOOGL US Equity
11,Verizon Communications Inc,VZ US,supplier,ERICB SS Equity
11,Verizon Communications Inc,VZ US,customer,SNX US Equity
11,Verizon Communications Inc,VZ US,customer,ARW US Equity
11,Verizon Communications Inc,VZ US,customer,CDW US Equity
11,Verizon Communications Inc,VZ US,customer,NSIT US Equity
11,Verizon Communications Inc,VZ US,customer,SCSC US Equity
12,Citigroup Inc,C US,supplier,ORCL US Equity
12,Citigroup Inc,C US,supplier,ADBE US Equity
12,Citigroup Inc,C US,supplier,CSGS US Equity
12,Citigroup Inc,C US,supplier,TEMN SW Equity
12,Citigroup Inc,C US,supplier,CLAR SP Equity
12,Citigroup Inc,C US,customer,ANTO LN Equity
12,Citigroup Inc,C US,customer,2307124D SM Equity
12,Citigroup Inc,C US,customer,ARM US Equity
12,Citigroup Inc,C US,customer,DDS US Equity
12,Citigroup Inc,C US,customer,MAERSKB DC Equity
13,Cigna Group/The,CI US,supplier,COR US Equity
13,Cigna Group/The,CI US,supplier,ROG SW Equity
13,Cigna Group/The,CI US,supplier,JNJ US Equity
13,Cigna Group/The,CI US,supplier,PFE US Equity
13,Cigna Group/The,CI US,supplier,AZN LN Equity
13,Cigna Group/The,CI US,customer,3352Z US Equity
13,Cigna Group/The,CI US,customer,CNC US Equity
13,Cigna Group/The,CI US,customer,0219682Z US Equity
13,Cigna Group/The,CI US,customer,0119014D US Equity
13,Cigna Group/The,CI US,customer,315 HK Equity
14,CVS Health Corp,CVS US,supplier,MCK US Equity
14,CVS Health Corp,CVS US,supplier,CAH US Equity
14,CVS Health Corp,CVS US,supplier,PG US Equity
14,CVS Health Corp,CVS US,supplier,JNJ US Equity
14,CVS Health Corp,CVS US,supplier,OR FP Equity
14,CVS Health Corp,CVS US,customer,3352Z US Equity
14,CVS Health Corp,CVS US,customer,002506 CH Equity
14,CVS Health Corp,CVS US,customer,0476739D CH Equity
14,CVS Health Corp,CVS US,customer,1053543D US Equity
14,CVS Health Corp,CVS US,customer,9877893Z US Equity
15,T-Mobile US Inc,TMUS US,supplier,AAPL US Equity
15,T-Mobile US Inc,TMUS US,supplier,005930 KS Equity
15,T-Mobile US Inc,TMUS US,supplier,CCI US Equity
15,T-Mobile US Inc,TMUS US,supplier,AMT US Equity
15,T-Mobile US Inc,TMUS US,supplier,DOX US Equity
15,T-Mobile US Inc,TMUS US,customer,SNX US Equity
15,T-Mobile US Inc,TMUS US,customer,CDW US Equity
15,T-Mobile US Inc,TMUS US,customer,DTE GR Equity
15,T-Mobile US Inc,TMUS US,customer,AVT US Equity
15,T-Mobile US Inc,TMUS US,customer,SCSC US Equity
16,AT&T Inc,T US,supplier,AAPL US Equity
16,AT&T Inc,T US,supplier,005930 KS Equity
16,AT&T Inc,T US,supplier,ERICB SS Equity
16,AT&T Inc,T US,supplier,AMT US Equity
16,AT&T Inc,T US,supplier,DY US Equity
16,AT&T Inc,T US,customer,IBM US Equity
16,AT&T Inc,T US,customer,SNX US Equity
16,AT&T Inc,T US,customer,SCSC US Equity
16,AT&T Inc,T US,customer,AVT US Equity
16,AT&T Inc,T US,customer,8 HK Equity
17,AT&T Inc,T US,supplier,AAPL US Equity
17,AT&T Inc,T US,supplier,005930 KS Equity
17,AT&T Inc,T US,supplier,ERICB SS Equity
17,AT&T Inc,T US,supplier,AMT US Equity
17,AT&T Inc,T US,supplier,DY US Equity
17,AT&T Inc,T US,customer,IBM US Equity
17,AT&T Inc,T US,customer,SNX US Equity
17,AT&T Inc,T US,customer,SCSC US Equity
17,AT&T Inc,T US,customer,AVT US Equity
17,AT&T Inc,T US,customer,8 HK Equity
18,DuPont de Nemours Inc,DD US,supplier,900909 CH Equity
18,DuPont de Nemours Inc,DD US,supplier,ARTO IN Equity
18,DuPont de Nemours Inc,DD US,supplier,002318 CH Equity
18,DuPont de Nemours Inc,DD US,supplier,CNR CN Equity
18,DuPont de Nemours Inc,DD US,supplier,MOTHERSO IN Equity
18,DuPont de Nemours Inc,DD US,customer,AIR FP Equity
18,DuPont de Nemours Inc,DD US,customer,MSFT US Equity
18,DuPont de Nemours Inc,DD US,customer,SHW US Equity
18,DuPont de Nemours Inc,DD US,customer,LOW US Equity
18,DuPont de Nemours Inc,DD US,customer,CON GR Equity
19,Allergan Ltd/Ireland,AGN US,supplier,AEE US Equity
19,Allergan Ltd/Ireland,AGN US,supplier,AEP US Equity
19,Allergan Ltd/Ireland,AGN US,supplier,AES US Equity
19,Allergan Ltd/Ireland,AGN US,supplier,BRK/A US Equity
19,Allergan Ltd/Ireland,AGN US,supplier,DUK US Equity
19,Allergan Ltd/Ireland,AGN US,customer,4569 JP Equity
20,Pfizer Inc,PFE US,supplier,BNTX US Equity
20,Pfizer Inc,PFE US,supplier,ORCL US Equity
20,Pfizer Inc,PFE US,supplier,DIM FP Equity
20,Pfizer Inc,PFE US,supplier,BMY US Equity
